Code_BuildingVariant,Code_Country,Code_Building,Code_BuildingSizeClass,Code_Period,Code_Material,Code_Zone,Code_RoofType,Year1_Building,Year2_Building,n_Apartment,n_Storey,A_C_Ref,h_room,A_Wall_1,A_Wall_2,A_Wall_3,A_Roof_1,A_Roof_2,A_Floor_1,A_Floor_2,A_Door_1,A_Window_North,A_Window_East,A_Window_South,A_Window_West,A_Window_Horizontal,A_Window_1,A_Window_2,F_sh_vert,F_sh_hor,F_f,F_w,U_Actual_Wall_1,U_Actual_Wall_2,U_Actual_Wall_3,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,U_Actual_Roof_1,U_Actual_Roof_2,b_Transmission_Roof_1,b_Transmission_Roof_2,U_Actual_Floor_1,U_Actual_Floor_2,b_Transmission_Floor_1,b_Transmission_Floor_2,U_Actual_Door_1,U_Window_1,U_Window_2,g_gl_n_Window_1,n_air_infiltration,n_air_use,q_h_nd
CL.SFH.preRT.met.C,CL,CL.SFH.preRT.met.C,SFH,preRT,met,C,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.75,0,0,1.0,0,0,0.48,0,1.0,0,3.36,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.met.D,CL,CL.SFH.preRT.met.D,SFH,preRT,met,D,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.75,0,0,1.0,0,0,0.378,0,1.0,0,0.66,0,0.45,0,2.5,3.145,0,0.87,0.8,0.3,120
CL.SFH.preRT.met.E,CL,CL.SFH.preRT.met.E,SFH,preRT,met,E,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.75,0,0,1.0,0,0,0.378,0,1.0,0,3.95,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.met.F,CL,CL.SFH.preRT.met.F,SFH,preRT,met,F,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.75,0,0,1.0,0,0,0.38,0,1.0,0,0.45,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.met.G,CL,CL.SFH.preRT.met.G,SFH,preRT,met,G,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.75,0,0,1.0,0,0,0.29,0,1.0,0,0.55,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.met.H,CL,CL.SFH.preRT.met.H,SFH,preRT,met,H,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.75,0,0,1.0,0,0,0.33,0,1.0,0,0.29,0,0.45,0,2.5,4.54,0,0.87,0.8,0.3,120
CL.SFH.preRT.met.I,CL,CL.SFH.preRT.met.I,SFH,preRT,met,I,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.75,0,0,1.0,0,0,0.2489,0,1.0,0,0.66,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.prefab.A,CL,CL.SFH.preRT.prefab.A,SFH,preRT,prefab,A,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.6,0,0,1.0,0,0,0.69,0,1.0,0,3.41,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.prefab.B,CL,CL.SFH.preRT.prefab.B,SFH,preRT,prefab,B,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,2.16,0,0,1.0,0,0,0.81,0,1.0,0,1.29,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.prefab.C,CL,CL.SFH.preRT.prefab.C,SFH,preRT,prefab,C,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.28,0,0,1.0,0,0,0.48,0,1.0,0,3.36,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
